Name,State
Abadam,Borno
Abaji,FCT
Abak,Akwa Ibom
Abakaliki,Ebonyi
Aba North,Abia
Aba South,Abia
Abeokuta North,Ogun
Abeokuta South,Ogun
Abi,Cross River
Aboh Mbaise,Imo
Abua/Odual,Rivers
Adavi,Kogi 
Ado Ekiti,Ekiti 
Ado-Odo/Ota,Ogun 
Afijio,Oyo 
Afikpo North,Ebonyi 
Afikpo South,Ebonyi 
Agaie,Niger 
Agatu,Benue 
Agwara,Niger 
Agege,Lagos 
Aguata,Anambra 
Ahiazu Mbaise,Imo 
Ahoada East,Rivers 
Ahoada West,Rivers 
Ajaokuta,Kogi 
Ajeromi-Ifelodun,Lagos 
Ajingi,Kano 
Akamkpa,Cross River 
Akinyele,Oyo 
Akko,Gombe 
Akoko-Edo,Edo 
Akoko North-East,Ondo 
Akoko North-West,Ondo 
Akoko South-West,Ondo 
Akoko South-East,Ondo 
Akpabuyo,Cross River 
Akuku-Toru,Rivers 
Akure North,Ondo 
Akure South,Ondo 
Akwanga,Nasarawa 
Albasu,Kano 
Aleiro,Kebbi 
Alimosho,Lagos 
Alkaleri,Bauchi 
Amuwo-Odofin,Lagos 
Anambra East,Anambra 
Anambra West,Anambra 
Anaocha,Anambra 
Andoni,Rivers 
Aninri,Enugu 
Aniocha North,Delta 
Aniocha South,Delta 
Anka,Zamfara 
Ankpa,Kogi 
Apa,Benue 
Apapa,Lagos 
Ado,Benue 
Ardo Kola,Taraba 
Arewa Dandi,Kebbi 
Argungu,Kebbi 
Arochukwu,Abia 
Asa,Kwara 
Asari-Toru,Rivers 
Askira/Uba,Borno 
Atakunmosa East,Osun 
Atakunmosa West,Osun 
Atiba,Oyo 
Atisbo,Oyo 
Augie,Kebbi 
Auyo,Jigawa 
Awe,Nasarawa 
Awgu,Enugu 
Awka North,Anambra 
Awka South,Anambra 
Ayamelum,Anambra 
Aiyedaade,Osun 
Aiyedire,Osun 
Babura,Jigawa 
Badagry,Lagos 
Bagudo,Kebbi 
Bagwai,Kano 
Bakassi,Cross River 
Bokkos,Plateau 
Bakori,Katsina 
Bakura,Zamfara 
Balanga,Gombe 
Bali,Taraba 
Bama,Borno 
Bade,Yobe 
Barkin Ladi,Plateau 
Baruten,Kwara 
Bassa,Kogi 
Bassa,Plateau 
Batagarawa,Katsina 
Batsari,Katsina 
Bauchi,Bauchi 
Baure,Katsina 
Bayo,Borno 
Bebeji,Kano 
Bekwarra,Cross River 
Bende,Abia 
Biase,Cross River 
Bichi,Kano 
Bida,Niger 
Billiri,Gombe 
Bindawa,Katsina 
Binji,Sokoto 
Biriniwa,Jigawa 
Birnin Gwari,Kaduna 
Birnin Kebbi,Kebbi 
Birnin Kudu,Jigawa 
Birnin Magaji/Kiyaw,Zamfara 
Biu,Borno 
Bodinga,Sokoto 
Bogoro,Bauchi 
Boki,Cross River 
Boluwaduro,Osun 
Bomadi,Delta 
Bonny,Rivers 
Borgu,Niger 
Boripe,Osun 
Bursari,Yobe 
Bosso,Niger 
Brass,Bayelsa 
Buji,Jigawa 
Bukkuyum,Zamfara 
Buruku,Benue 
Bungudu,Zamfara 
Bunkure,Kano 
Bunza,Kebbi 
Burutu,Delta 
Bwari,FCT
Calabar Municipal,Cross River 
Calabar South,Cross River 
Chanchaga,Niger 
Charanchi,Katsina 
Chibok,Borno 
Chikun,Kaduna 
Dala,Kano 
Damaturu,Yobe 
Damban,Bauchi 
Dambatta,Kano 
Damboa,Borno 
Dandi,Kebbi 
Dandume,Katsina 
Dange Shuni,Sokoto 
Danja,Katsina 
Dan Musa,Katsina 
Darazo,Bauchi 
Dass,Bauchi 
Daura,Katsina 
Dawakin Kudu,Kano 
Dawakin Tofa,Kano 
Degema,Rivers 
Dekina,Kogi 
